05/21/18 16:17:06:090 | [INFO] |  |  |  | Adobe Silent Activator |  |  | 4976 | __OOBELIB_LOG_FILE__
05/21/18 16:17:06:090 | [INFO] |  |  |  | Adobe Silent Activator |  |  | 4976 | ***********Silent Activator Launched = 7.0.0.155,7.0 ************
05/21/18 16:17:06:090 | [INFO] |  |  |  | SLCoreService |  |  | 4976 | Starting up SLCore 2.0 Release (build 2.0.1.360321).
05/21/18 16:17:06:091 | [INFO] |  |  |  | SLCoreService |  |  | 4976 | Service construction took 0.1 ms and succeed.
05/21/18 16:17:06:091 | [INFO] |  |  |  | PCDService |  |  | 4976 | PCD Service in non-threaded mode
05/21/18 16:17:06:806 | [INFO] |  |  |  | AXFBLicensing |  |  | 4976 | All function pointers successfully retrieved
05/21/18 16:17:06:806 | [DEBUG] |  |  |  | Activation |  |  | 4976 | PerformWorkflow : Trying to acquire the semaphore
05/21/18 16:17:06:806 | [DEBUG] |  |  |  | Activation |  |  | 4976 | PerformWorkflow : Semaphore acquired
05/21/18 16:17:06:807 | [DEBUG] |  |  |  | Activation |  |  | 4976 | ProcessXMLFile : ELEID found Photoshop-CS7-Win-GM
05/21/18 16:17:06:807 | [DEBUG] |  |  |  | Activation |  |  | 4976 | LEID=Photoshop-CS7-Win-GM DLEID=Photoshop-CS7-Win-GM ELEID=Photoshop-CS7-Win-GM LOCALE=en_US APPAMT = C:\Program Files\Adobe\Adobe Photoshop CC\AMT DAMT = C:\Program Files\Common Files\Adobe\Adobe Photoshop CC\AMT_Driver
05/21/18 16:17:06:807 | [DEBUG] |  |  |  | HEADLESS MODE |  |  | 4976 | HEADLESS MODE is : 
05/21/18 16:17:06:812 | [DEBUG] |  |  |  | PCDService |  |  | 4976 | No value for key [EULA_ACCEPTANCE_SERVER] in hive [Photoshop-CS7-Win-GM] in cache : 519
05/21/18 16:17:06:815 | [DEBUG] |  |  |  | PCDService |  |  | 4976 | No value for key [EULADelay] in hive [{2D99B50E-431D-4AA8-85C1-172A6F8BCF09}] in master : 10
05/21/18 16:17:06:828 | [INFO] |  |  |  | DispatchClientLib |  |  | 4976 | Dispatch table loaded from path: C:\Program Files\Common Files\Adobe\OOBE\PDApp\P7\dispatchtable.xml 
05/21/18 16:17:06:914 | [INFO] |  |  |  | DispatchClientLib |  |  | 4976 | (re)load Local Dispatch Table status-[0].
05/21/18 16:17:06:914 | [INFO] |  |  |  | DispatchClientLib |  |  | 4976 | Scope : [2]
05/21/18 16:17:06:914 | [INFO] |  |  |  | DispatchClientLib |  |  | 4976 | Setting scope to GM
05/21/18 16:17:06:914 | [INFO] |  |  |  | DispatchClientLib |  |  | 4976 | Scope : [2]
05/21/18 16:17:06:914 | [INFO] |  |  |  | DispatchClientLib |  |  | 4976 | Setting scope to GM
05/21/18 16:17:06:914 | [INFO] |  |  |  | DispatchClientLib |  |  | 4976 | EndPoint requested: [RecordAction]
05/21/18 16:17:06:914 | [INFO] |  |  |  | DispatchClientLib |  |  | 4976 | Length of the URL: [57]
05/21/18 16:17:06:914 | [INFO] |  |  |  | DispatchClientLib |  |  | 4976 | Returning from getEndpointAddr: [0]
05/21/18 16:17:06:914 | [INFO] |  |  |  | DispatchClientLib |  |  | 4976 | EndPoint requested: [RecordAction]
05/21/18 16:17:06:914 | [INFO] |  |  |  | DispatchClientLib |  |  | 4976 | Length of the URL: [57]
05/21/18 16:17:06:914 | [INFO] |  |  |  | DispatchClientLib |  |  | 4976 | URL found [https://lm.licenses.adobe.com/lmuds/lmuds/v1/recordaction]
05/21/18 16:17:06:914 | [INFO] |  |  |  | DispatchClientLib |  |  | 4976 | Returning from getEndpointAddr: [0]
05/21/18 16:17:06:927 | [INFO] |  |  |  | OOBELib |  |  | 4976 | HTTPCommunicationAgent::processMessage is https://lm.licenses.adobe.com/lmuds/lmuds/v1/recordaction (extURL=)
05/21/18 16:17:07:100 | [ERROR] |  |  |  | OOBELib |  |  | 3512 | windows error: 12029
05/21/18 16:17:07:100 | [INFO] |  |  |  | OOBELib |  |  | 4976 | HTTPCommunicationAgent- Return Code:[163] response size-[0] time taken-[172.75]ms.
05/21/18 16:17:07:100 | [INFO] |  |  |  | OOBELib |  |  | 4976 | IALClient Set EULAStatus Status-[419] took-[185.99]ms.
05/21/18 16:17:07:100 | [ERROR] |  |  |  | OOBELib |  |  | 4976 | MakeIALRecordEulaAcceptanceCall : Error returned by IAL error code : 419
05/21/18 16:17:07:100 | [DEBUG] |  |  |  | Activation |  |  | 4976 | PerformWorkflow : Launching PDApp via SA
05/21/18 16:17:07:100 | [DEBUG] |  |  |  | Activation |  |  | 4976 | LaunchAAM WF : Subsequent_Launch and Type =REG 
05/21/18 16:17:07:100 | [INFO] |  |  |  | SLCoreService |  |  | 4976 | Syncing to license store...
05/21/18 16:17:07:139 | [INFO] |  |  |  | SLCoreService |  |  | 4976 | Found client mkey.
05/21/18 16:17:07:162 | [INFO] |  |  |  | SLCoreService |  |  | 4976 | Loading license references...
05/21/18 16:17:07:164 | [INFO] |  |  |  | SLCoreService |  |  | 4976 | Found 1 license file(s)
05/21/18 16:17:07:166 | [INFO] |  |  |  | SLCoreService |  |  | 4976 | Parsing license file [171877917.lic] succeed.
05/21/18 16:17:07:166 | [INFO] |  |  |  | SLCoreService |  |  | 4976 | License store synchronization took 65.3 ms and succeed.
05/21/18 16:17:07:166 | [INFO] |  |  |  | SLCoreService |  |  | 4976 | Query license: type = 1, duration = 30 days, remaining = 18 day(s) 85230 seconds.
05/21/18 16:17:07:166 | [INFO] |  |  |  | SLCoreService |  |  | 4976 | Query license: type = 0, duration = 0 days, remaining = expired.
05/21/18 16:17:07:166 | [DEBUG] |  |  |  | Activation |  |  | 4976 | LaunchAAM : Trial Dur 30 Trial Rem 19
05/21/18 16:17:07:166 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AdobeCode [{AA01D250-3E72-4FD7-9A3B-F9A9C1DBC016}]
05/21/18 16:17:07:166 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AdobeIDCreated [false]
05/21/18 16:17:07:166 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppAMTBkGndFilePath [C:\Program Files\Adobe\Adobe Photoshop CC\AMT\LMResources\background.png]
05/21/18 16:17:07:166 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppAMTConnectionFAQFilePath [C:\Program Files\Adobe\Adobe Photoshop CC\OBLRes\en_US\ConnectionFAQ.html]
05/21/18 16:17:07:166 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppAMTLicenseAFAQFilePath [C:\Program Files\Adobe\Adobe Photoshop CC\OBLRes\en_US\LicenseFAQ.html]
05/21/18 16:17:07:166 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppAMTLogoFilePath [C:\Program Files\Adobe\Adobe Photoshop CC\AMT\LMResources\adobelogo.png]
05/21/18 16:17:07:166 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppAMTPath [C:\Program Files\Adobe\Adobe Photoshop CC\AMT]
05/21/18 16:17:07:166 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppDriverAMTPath [C:\Program Files\Common Files\Adobe\Adobe Photoshop CC\AMT_Driver]
05/21/18 16:17:07:166 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppDriverLEID [Photoshop-CS7-Win-GM]
05/21/18 16:17:07:166 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppEULAFolderPath [C:\Program Files\Adobe\Adobe Photoshop CC\Legal]
05/21/18 16:17:07:166 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppHostAppType [ALM_HostAppType_LicensedProduct]
05/21/18 16:17:07:166 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppLaunchPath [C:\Program Files\Adobe\Adobe Photoshop CC\Photoshop.exe]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppLicensingAMTPath [C:\Program Files\Adobe\Adobe Photoshop CC\AMT]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppLicensingLEID [Photoshop-CS7-Win-GM]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppListOfLocales [en_US]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppName [Adobe Photoshop CC]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppPath [C:\Program Files\Adobe\Adobe Photoshop CC]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppRunningLEID [Photoshop-CS7-Win-GM]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppRunningLocale [en_US]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppSerialNumber [911987094032700067932452]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value AppTrialSerialNumber [911987094032700067932452]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value BuyURL [http://www.adobe.com/go/buy?productID=45&release=2.0&platform=0&locale=en_US]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value ClaimSource [nag_trial]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value DriverAdobeCode [{2D99B50E-431D-4AA8-85C1-172A6F8BCF09}]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value ExtendedProfileRegURL [http://www.adobe.com/go/adobemembership?productID=45&release=2.0&platform=0&locale=en_US&source=PCSTHX]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value ForcedActivation [0]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value HasSAASBit [1]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value HasSubscriptionBit [0]
05/21/18 16:17:07:167 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value LaunchMode [postchrome]
05/21/18 16:17:07:168 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value NoTrial [0]
05/21/18 16:17:07:168 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value Platform [0]
05/21/18 16:17:07:168 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value ProductID [45]
05/21/18 16:17:07:168 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value ProductVersion [2.0]
05/21/18 16:17:07:168 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value RunningLicenseRemainingDays [0]
05/21/18 16:17:07:168 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value ShowEULA [false]
05/21/18 16:17:07:168 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value TrialExpired [0]
05/21/18 16:17:07:168 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value TrialGrace [30]
05/21/18 16:17:07:168 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value TrialLeft [19]
05/21/18 16:17:07:168 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value UpgradeCheckRequired [0]
05/21/18 16:17:07:168 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Key Value WorkFlowType [Subsequent_Launch]
05/21/18 16:17:07:168 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Subsequent_Launch
05/21/18 16:17:07:339 | [INFO] |  |  |  | uiswitch |  |  | 4976 | PDApp
05/21/18 16:17:07:339 | [INFO] |  |  |  | uiswitch |  |  | 4976 | Launched
05/21/18 16:17:07:339 | [DEBUG] |  |  |  | Activation |  |  | 4976 | LaunchAAM : App Manager launched
05/21/18 16:17:07:339 | [INFO] |  |  |  | Activation |  |  | 4976 | Semaphore signalled
05/21/18 16:17:07:339 | [INFO] |  |  |  | SLCoreService |  |  | 4976 | Shutting down SLCore 2.0 Release (build 2.0.1.360321).
05/21/18 16:17:07:340 | [INFO] |  |  |  | SLCoreService |  |  | 4976 | Service destruction took 0.9 ms and succeed.
05/21/18 16:17:07:340 | [INFO] |  |  |  | Adobe Silent Activator |  |  | 4976 | ***********Silent Activator End*******************
05/21/18 16:17:15:964 | [INFO] |  |  |  | OOBELib |  |  | 4556 | *************OOBELib Session Starts*************
05/21/18 16:17:15:965 | [INFO] |  |  |  | OOBELib |  |  | 4556 | Version 7.0.0.155,7.0

05/21/18 16:17:15:965 | [INFO] |  |  |  | PCDService |  |  | 4556 | PCD Service in non-threaded mode
05/21/18 16:17:15:969 | [INFO] |  |  |  | DispatchClientLib |  |  | 4556 | Dispatch table loaded from path: C:\Program Files\Common Files\Adobe\OOBE\PDApp\P7\dispatchtable.xml 
05/21/18 16:17:16:045 | [INFO] |  |  |  | DispatchClientLib |  |  | 4556 | (re)load Local Dispatch Table status-[0].
05/21/18 16:17:16:045 | [INFO] |  |  |  | DispatchClientLib |  |  | 4556 | Scope : [2]
05/21/18 16:17:16:045 | [INFO] |  |  |  | DispatchClientLib |  |  | 4556 | Setting scope to GM
05/21/18 16:17:16:669 | [ERROR] |  |  |  | OPMWrapper |  |  | 4556 | Failed in getting value for key in OPMGetValueForKey
05/21/18 16:17:16:669 | [INFO] |  |  |  | OOBELib |  |  | 4556 | Failed to get Proxy username in OPM DB
05/21/18 16:17:16:671 | [INFO] |  |  |  | AXFBLicensing |  |  | 4556 | All function pointers successfully retrieved
05/21/18 16:17:16:696 | [INFO] |  |  |  | OOBELib |  |  | 4556 | SetXMLData()
05/21/18 16:17:16:697 | [INFO] |  |  |  | OOBELib |  |  | 4556 | SetXMLData():mBonusLaunchCode not found
05/21/18 16:17:16:697 | [INFO] |  |  |  | OOBELib |  |  | 4556 | SetXMLData():NoTrial not found
05/21/18 16:17:16:697 | [INFO] |  |  |  | SLCoreService |  |  | 4556 | Starting up SLCore 2.0 Release (build 2.0.1.360321).
05/21/18 16:17:16:697 | [INFO] |  |  |  | SLCoreService |  |  | 4556 | Service construction took 0.2 ms and succeed.
05/21/18 16:17:16:727 | [INFO] |  |  |  | OOBELib |  |  | 4556 | Running in App context

05/21/18 16:17:16:732 | [INFO] |  |  |  | OOBELib |  |  | 4556 | OOBELib CheckWFType STARTED
05/21/18 16:17:16:912 | [INFO] |  |  |  | AXFBLicensing |  |  | 4556 | IsProductAndSNLicensedBySuite : Could not get AX/FB Lic details 3..

05/21/18 16:17:16:915 | [INFO] |  |  |  | OOBELib |  |  | 4556 | CheckWFType : Updating latest SN
05/21/18 16:17:16:917 | [INFO] |  |  |  | SLCoreService |  |  | 4556 | Syncing to license store...
05/21/18 16:17:16:931 | [INFO] |  |  |  | SLCoreService |  |  | 4556 | Found client mkey.
05/21/18 16:17:16:952 | [INFO] |  |  |  | SLCoreService |  |  | 4556 | Loading license references...
05/21/18 16:17:16:954 | [INFO] |  |  |  | SLCoreService |  |  | 4556 | Found 1 license file(s)
05/21/18 16:17:16:956 | [INFO] |  |  |  | SLCoreService |  |  | 4556 | Parsing license file [171877917.lic] succeed.
05/21/18 16:17:16:956 | [INFO] |  |  |  | SLCoreService |  |  | 4556 | License store synchronization took 39.0 ms and succeed.
05/21/18 16:17:16:956 | [INFO] |  |  |  | SLCoreService |  |  | 4556 | Query license: type = 1, duration = 30 days, remaining = 18 day(s) 85221 seconds.
05/21/18 16:17:16:956 | [INFO] |  |  |  | OOBELib |  |  | 4556 | Found Trial Serial. Looking for alternate serial if any.
05/21/18 16:17:16:956 | [DEBUG] |  |  |  | PCDService |  |  | 4556 | No value for key [SN] in hive [Photoshop-CS7-Win-GM{|}en_US] in cache : 519
05/21/18 16:17:16:958 | [DEBUG] |  |  |  | PCDService |  |  | 4556 | No value for key [SN] in hive [Photoshop-CS7-Win-GM{|}ALL] in cache : 519
05/21/18 16:17:16:979 | [INFO] |  |  |  | OOBELib |  |  | 4556 | OOBELib GetLicensingLEID : App LEID is Photoshop-CS7-Win-GM{|}en_US 
05/21/18 16:17:16:979 | [INFO] |  |  |  | OOBELib |  |  | 4556 | OOBELib GetLicensingLEID : FLMap entry found 
05/21/18 16:17:16:979 | [INFO] |  |  |  | OOBELib |  |  | 4556 | OOBELib GetLicensingLEID : LEID to be set is Photoshop-CS7-Win-GM 
05/21/18 16:17:16:979 | [INFO] |  |  |  | OOBELib |  |  | 4556 | Not a case of AX/FB licensing : Photoshop-CS7-Win-GM, 911987094032700067932452
05/21/18 16:17:16:979 | [INFO] |  |  |  | OOBELib |  |  | 4556 | CheckWFType : Updating running SN record
